customer,age,income,purchase,gender,churn,date
164,32,732295,32,Male,1,2025-06-30
165,43,1683624,21,Male,0,2026-01-08
166,59,2355748,8,Male,0,2025-09-04
167,30,2156109,72,Female,0,2026-07-31
168,68,1073172,50,Male,0,2025-04-06
169,49,722244,67,Female,1,2025-10-04
170,56,1661074,44,Male,0,2026-02-07
171,66,879290,58,Female,0,2024-01-05
172,69,2055619,3,Female,1,2024-08-05
173,49,1262636,86,Female,0,2025-05-17
174,21,1986921,70,Male,0,2026-02-05
175,47,1767121,2,Male,0,2025-02-01
176,54,1029735,87,Female,1,2026-05-20
177,40,1288287,44,Female,0,2026-03-05
178,56,535484,2,Female,0,2025-01-27
179,62,1351550,81,Male,0,2024-07-25
180,32,1650976,35,Male,1,2024-01-15
181,60,889376,98,Male,1,2026-05-07
182,46,638774,87,Male,0,2025-07-07
183,53,1114228,30,Female,0,2026-06-10
184,30,1153959,8,Female,1,2025-04-05
185,49,2389415,22,Male,0,2025-11-21
186,24,1121522,44,Male,0,2025-07-28
187,68,1827781,58,Female,0,2026-05-13
188,39,545266,36,Male,0,2026-01-12
189,45,1738601,69,Male,0,2024-08-28
190,19,543054,77,Male,0,2025-07-17
191,59,1516128,93,Male,0,2024-04-05
192,62,1307955,31,Male,1,2026-06-18
193,74,1273629,47,Male,0,2026-01-03
194,70,1651238,55,Female,0,2025-04-29
195,23,2395875,80,Male,0,2025-02-10
196,45,1521509,62,Male,1,2024-08-18
197,45,2132728,30,Female,1,2026-01-18
198,61,1053088,55,Female,1,2025-10-16
199,61,2099492,16,Female,1,2024-06-19
200,37,1280730,12,Male,0,2025-06-24
201,47,1614397,17,Female,1,2024-02-05
202,28,2102787,16,Male,1,2025-06-08
203,72,1045633,12,Male,0,2024-06-08
204,45,1423520,8,Male,1,2026-04-18
205,42,1819061,84,Female,0,2025-11-29
206,56,1696972,3,Female,1,2024-08-30
207,50,1403358,16,Female,0,2024-03-26
208,18,2099443,30,Female,0,2026-03-06
209,74,1639758,23,Female,1,2025-07-31
210,44,2005468,92,Male,0,2025-11-12
211,74,2361924,5,Male,0,2025-07-10
212,69,326108,84,Male,0,2025-07-27
213,30,1907692,65,Male,1,2026-08-10
214,58,1531329,30,Female,0,2025-10-07
215,20,2280154,21,Female,0,2026-03-06
216,56,2444702,84,Male,0,2024-01-28
217,23,537827,70,Female,1,2025-09-11
218,25,1740889,22,Female,0,2025-07-09
219,44,1903194,82,Male,0,2024-12-05
220,26,588349,72,Male,1,2026-03-08
221,54,1262729,32,Female,1,2024-11-26
222,50,1849189,33,Female,0,2025-10-01
223,68,2179079,16,Male,0,2025-05-20
224,59,594030,76,Male,0,2024-12-13
225,61,276077,38,Male,0,2025-04-17
226,41,333515,98,Female,0,2024-08-18
227,32,1455564,14,Male,0,2024-07-08
228,71,2108327,36,Male,0,2024-08-12
229,49,325885,97,Female,0,2025-01-19
230,49,1096209,23,Female,0,2025-01-11
231,41,741656,66,Female,1,2024-10-09
232,58,870688,85,Female,0,2025-09-24
233,69,2485166,2,Female,0,2025-09-19
234,66,2388903,91,Male,0,2026-01-14
235,66,430203,73,Male,0,2024-09-15
236,69,1013738,65,Female,0,2024-12-24
237,29,2251531,75,Female,0,2025-12-10
238,56,1753731,67,Female,0,2025-03-31
239,19,395716,52,Female,1,2025-02-14
240,20,1090695,62,Female,0,2025-10-10
241,66,200126,23,Male,0,2024-11-13
242,54,1038761,26,Male,0,2025-11-07
243,66,700315,68,Male,0,2024-08-12
244,73,1969246,82,Male,0,2026-03-29
245,34,1358521,55,Female,0,2024-08-21
246,66,1499445,6,Male,1,2025-11-14
247,19,941426,35,Female,0,2025-10-25
248,19,698716,22,Female,0,2026-04-06
249,45,2476106,43,Female,0,2025-01-08
250,71,2202324,15,Male,0,2025-11-02
251,40,2267801,86,Female,0,2025-08-30
252,54,332717,60,Male,0,2025-04-16
253,49,694592,12,Male,1,2024-08-20
254,50,1417078,49,Female,0,2025-11-22
255,18,2154727,42,Female,0,2024-04-22
256,36,2229454,38,Female,1,2026-04-09
257,19,1915630,82,Male,0,2025-05-11
258,70,518408,45,Female,0,2025-03-17
259,61,668276,35,Male,0,2025-07-17
260,43,1214920,30,Female,1,2024-09-24
261,49,2354697,88,Female,0,2025-05-24
262,23,711411,30,Male,0,2026-03-17
263,49,1084377,78,Male,0,2025-01-20
264,72,2310376,6,Male,0,2025-01-21
265,21,240738,67,Male,1,2024-04-22
266,72,2098739,80,Male,0,2025-09-04
267,28,1429336,7,Male,1,2025-09-16
268,73,1217433,52,Female,0,2026-08-09
269,34,666725,14,Female,1,2024-03-21
270,55,1374737,73,Male,0,2025-11-29
271,41,1781530,15,Female,1,2024-04-22
272,22,1044193,21,Male,0,2024-01-02
273,69,2287258,35,Female,0,2025-10-03
274,51,498512,66,Female,1,2024-08-07
275,23,862143,91,Male,0,2025-07-19
276,39,1450155,2,Male,1,2026-05-04
277,28,1196530,35,Male,0,2026-01-05
278,65,971253,82,Female,0,2024-08-12
279,33,2276696,78,Male,0,2025-01-19
280,50,1578246,20,Female,0,2025-02-06
281,26,2236915,82,Male,0,2025-09-29
282,23,583152,10,Female,1,2024-05-09
283,33,1154652,25,Female,0,2024-02-22
284,46,2391422,66,Male,0,2025-11-14
285,20,1245482,25,Female,0,2025-12-30
286,37,2039765,54,Female,0,2025-11-02
287,53,1791961,33,Male,1,2025-12-10
288,36,1914331,36,Female,0,2025-02-19
289,43,2138900,95,Male,0,2024-09-03
290,20,2455920,14,Male,0,2026-04-15
291,36,1495302,65,Male,0,2025-03-14
292,37,770451,80,Male,0,2024-07-21
293,49,219816,54,Female,0,2024-07-02
294,24,1167344,52,Female,1,2024-05-02
295,69,1404565,3,Female,0,2025-02-04
296,58,1869595,99,Male,0,2026-02-05
297,50,1238896,41,Female,0,2024-10-20
298,57,1774623,6,Female,0,2024-10-06
299,56,333554,25,Male,1,2026-04-16
300,35,464223,13,Male,1,2026-06-02
301,57,2168797,98,Female,0,2025-09-01
302,18,1308252,8,Male,0,2024-07-16
303,28,1990380,21,Male,0,2026-06-25
304,45,1863261,98,Male,0,2025-05-25
305,74,1866471,68,Male,0,2026-01-21
306,42,1398097,25,Female,0,2024-05-23
307,67,626752,79,Male,0,2025-08-31
308,40,788365,68,Male,0,2024-07-19
309,48,1024690,45,Male,0,2024-05-03
310,47,903662,60,Male,0,2024-07-05
311,59,1505585,12,Male,1,2024-11-21
312,52,1386293,32,Male,1,2025-04-08
313,24,1630491,96,Male,0,2024-12-14
314,33,1799601,92,Male,0,2026-02-09
315,43,500709,13,Female,1,2025-10-21
316,65,2100163,31,Male,0,2026-02-02
317,74,1434816,78,Female,0,2026-07-20
318,69,1825351,20,Male,0,2025-02-06
319,66,2164956,18,Male,1,2024-12-11
320,19,1523062,93,Male,0,2025-05-25
321,18,1559490,60,Male,1,2024-05-26
322,65,1327199,63,Female,0,2024-05-27
323,29,1217289,6,Male,0,2026-05-13
324,22,2110637,32,Male,0,2025-12-11
325,54,1107425,93,Female,0,2026-03-30
326,49,2480827,43,Female,0,2025-05-03
327,72,1985910,2,Male,0,2026-07-17
328,26,852465,60,Female,0,2026-07-24
329,58,1456182,23,Female,1,2025-10-01
330,52,276218,83,Female,0,2025-07-04
331,36,970044,31,Male,0,2024-12-03
332,65,1584775,5,Male,0,2026-05-21
333,33,1935416,83,Male,0,2025-10-02
334,20,678446,34,Female,0,2026-02-17
335,37,662052,10,Male,1,2026-08-10
336,41,1928096,89,Female,1,2025-04-17
337,71,547739,2,Male,0,2026-08-03
338,73,672327,11,Male,1,2024-05-30
339,50,234911,50,Female,0,2025-02-18
340,41,2122135,31,Male,1,2024-10-24
341,69,1178039,56,Female,1,2025-09-02
342,28,1099885,79,Female,0,2024-09-19
343,66,808746,73,Male,0,2026-02-02
344,25,516915,87,Female,0,2024-05-23
345,53,699876,83,Male,0,2024-12-11
346,55,2162165,9,Male,0,2025-09-15
347,57,811213,99,Female,0,2025-07-25
348,37,968734,21,Male,0,2026-05-30
349,52,247057,73,Female,1,2024-01-02
350,65,1516870,28,Male,1,2026-06-15
351,42,2039433,62,Male,1,2024-10-30
352,52,2226580,7,Male,1,2024-09-10
353,42,908754,80,Male,0,2025-10-13
354,46,2207954,16,Male,0,2025-03-28
355,35,344931,97,Female,0,2024-02-06
356,63,1692252,4,Female,0,2024-06-08
357,35,2459643,4,Female,0,2024-01-09
358,19,601921,40,Female,0,2024-08-20
359,71,2208960,17,Female,0,2024-04-08
360,52,460910,52,Female,1,2025-10-20
361,33,287955,93,Male,0,2026-03-26
362,58,2137878,52,Male,1,2024-07-26
363,53,407990,36,Female,1,2024-05-10
364,50,2285259,38,Female,0,2025-02-07
365,21,738884,50,Male,0,2024-05-31
366,50,2199652,63,Male,0,2024-02-23
367,31,1196261,63,Male,0,2024-04-29
368,38,1905215,62,Female,0,2025-11-03
369,65,1442845,99,Female,0,2026-07-08
370,37,2146504,7,Female,0,2025-09-19
371,73,2435307,27,Male,0,2025-08-09
372,25,1106739,92,Male,1,2025-09-16
373,24,2183851,86,Female,0,2025-02-23
374,20,2196055,14,Female,1,2025-02-25
375,34,1505289,71,Male,0,2024-04-13
376,50,1690077,86,Male,0,2026-05-01
377,65,743351,5,Male,0,2024-09-10
378,29,267642,55,Male,0,2024-08-14
379,68,290093,2,Female,0,2024-04-21
380,39,1756182,62,Male,0,2025-05-24
381,72,417215,91,Male,1,2025-04-17
382,39,2203679,21,Male,1,2024-04-08
383,63,1955856,79,Female,0,2024-06-01
384,47,1932465,21,Female,0,2026-05-10
385,55,235954,10,Male,0,2026-07-02
386,55,726861,87,Male,0,2026-06-14
387,62,2244424,58,Male,0,2026-05-27
388,68,1086040,39,Female,1,2024-12-03
389,71,522918,5,Female,0,2025-12-06
390,25,1272328,65,Female,0,2026-04-01
391,44,2445909,13,Male,0,2024-06-11
392,44,316739,85,Female,0,2025-12-20
393,51,2090969,90,Male,0,2025-11-11
394,38,1486585,85,Male,0,2024-06-09
395,47,980316,53,Male,0,2025-08-02
396,50,1566853,82,Female,0,2026-03-11
397,45,1214929,45,Male,1,2025-02-01
398,64,1766847,32,Female,0,2024-10-03
399,50,1680035,36,Female,0,2026-03-26
400,22,388456,81,Male,0,2026-07-04
401,65,2206032,99,Male,0,2025-05-18
402,36,428504,60,Female,0,2026-06-14
403,21,1894693,11,Male,0,2025-01-26
404,52,2244491,63,Female,1,2024-05-14
405,66,1774486,21,Male,0,2024-07-13
406,34,773044,52,Female,0,2025-02-04
407,61,1289385,55,Female,0,2025-10-01
408,45,1789589,26,Female,0,2024-02-02
409,47,916756,68,Female,0,2025-11-18
410,46,251226,34,Male,1,2025-04-04
411,63,1426476,52,Male,0,2026-06-01
412,70,772212,82,Female,0,2025-04-14
413,23,424137,99,Female,0,2025-01-09
414,52,1700844,93,Male,0,2024-01-22
415,58,1129168,52,Male,0,2026-01-19
416,54,563476,29,Male,1,2025-10-31
417,41,1600283,38,Male,0,2024-02-07
418,46,1933309,42,Male,0,2024-08-17
419,66,1759161,21,Male,0,2024-12-30
420,63,891757,42,Female,0,2025-07-16
421,70,590719,13,Male,0,2025-03-13
422,48,1727937,64,Male,0,2026-02-14
423,52,1349947,17,Female,0,2024-10-09
424,50,2318324,9,Male,1,2024-01-27
425,69,2253490,41,Male,0,2024-08-13
426,38,1196121,1,Male,0,2024-10-03
427,49,908362,2,Male,1,2026-03-08
428,40,1076031,60,Male,1,2025-08-31
429,50,2238435,48,Female,0,2024-10-10
430,20,1470896,29,Male,0,2026-05-28
431,35,1259622,97,Female,0,2025-04-25
432,42,428071,10,Female,0,2025-03-28
433,59,578165,58,Male,0,2026-04-08
434,48,2194849,60,Female,1,2026-03-26
435,71,908662,21,Male,0,2025-10-20
436,20,1515573,28,Female,1,2025-05-30
437,57,1212117,75,Female,0,2025-06-30
438,63,845188,34,Male,1,2024-07-10
439,41,1731191,8,Male,1,2024-02-18
440,67,615008,59,Male,1,2025-05-26
441,49,1831993,86,Male,0,2024-01-17
442,64,1709090,72,Male,0,2024-06-20
443,39,1370365,49,Female,0,2024-08-07
444,40,879418,79,Female,0,2024-06-06
445,19,900780,17,Female,1,2025-04-21
446,44,1811754,60,Female,1,2024-02-15
447,59,1314593,87,Female,0,2025-01-07
448,19,1426952,88,Female,0,2025-06-01
449,43,1936857,45,Female,1,2024-04-08
450,34,856884,83,Male,0,2026-06-10
451,57,1806872,69,Male,0,2026-01-14
452,50,1303913,32,Female,0,2024-02-06
453,26,1524070,44,Female,1,2024-10-06
454,60,1858987,65,Male,0,2024-12-14
455,71,1748459,87,Male,0,2025-05-11
456,65,1793445,8,Male,1,2024-10-28
457,56,1861793,77,Male,0,2024-06-29
458,46,816036,72,Female,0,2025-08-29
459,59,1580346,87,Male,0,2024-04-08
460,72,993392,43,Female,1,2025-11-30
461,43,628988,1,Female,1,2024-04-25
462,52,380553,51,Female,1,2024-07-09
463,67,760696,24,Male,0,2024-09-09
464,42,899983,99,Male,0,2026-07-16
465,41,1391902,24,Female,0,2024-06-09
466,30,1259920,17,Female,0,2024-09-12
467,24,2220836,5,Female,1,2024-11-18
468,74,2402575,20,Male,0,2024-05-07
469,53,664071,21,Female,0,2024-01-18
470,62,386833,58,Male,0,2026-03-03
471,37,917912,31,Female,1,2026-01-04
472,18,975435,11,Female,0,2025-07-19
473,25,2374606,52,Female,0,2025-07-23
474,63,1760473,15,Male,0,2024-11-18
475,33,1764718,83,Male,0,2026-05-21
476,31,1145439,7,Female,1,2025-11-16
477,29,2334793,28,Male,0,2026-03-02
478,68,1802575,51,Female,0,2025-09-17
479,40,2105350,58,Male,0,2024-10-14
480,32,1617616,5,Male,1,2026-07-31
481,45,812121,5,Male,1,2026-05-03
482,51,2129465,94,Female,0,2025-10-24
483,19,1724102,96,Male,1,2025-09-30
484,49,1941134,8,Male,0,2024-06-03
485,40,864180,64,Female,1,2025-05-04
486,39,2235848,10,Female,0,2025-01-20
487,68,1128626,38,Female,0,2026-02-23
488,42,404615,96,Female,0,2024-04-13
489,39,1725233,92,Male,0,2026-07-17
490,39,2003740,81,Male,0,2025-01-27
491,66,1038003,95,Male,0,2026-03-21
492,69,481570,8,Male,0,2024-09-02
493,59,266150,25,Male,0,2024-06-24
494,23,2087383,73,Female,0,2024-02-08
495,32,2418978,66,Male,0,2025-04-21
496,71,759723,79,Male,1,2025-11-12
497,60,2131451,50,Male,0,2026-01-28
498,54,1199554,67,Female,1,2025-06-21
499,50,334055,49,Female,0,2026-05-16
500,25,876022,36,Male,0,2026-03-28
501,70,1009942,68,Female,0,2026-07-09
502,61,896358,78,Female,0,2025-02-11
503,61,1342647,41,Female,0,2025-06-08
504,22,2041648,89,Female,0,2026-04-07
505,56,1555267,62,Female,0,2025-05-20
506,21,2443541,10,Female,1,2026-06-21
507,23,1888472,21,Female,0,2026-04-04
508,62,1211727,36,Male,0,2024-02-05
509,49,454444,12,Male,1,2025-11-15
510,69,2407169,91,Female,0,2024-01-20
511,47,323618,2,Male,1,2024-11-16
512,64,659297,13,Male,0,2026-02-14
513,52,1220154,53,Female,0,2025-05-26
514,72,950865,32,Male,1,2025-02-03
515,57,740659,95,Female,0,2025-10-15
516,69,2293373,16,Female,0,2026-06-01
517,33,1846836,32,Female,1,2025-04-15
518,30,1441835,32,Male,0,2024-05-22
519,67,1070123,98,Male,0,2024-04-01
520,59,2059582,11,Male,1,2024-12-19
521,47,2169510,10,Male,1,2026-04-13
522,36,450195,15,Female,0,2026-03-10
523,34,1392324,17,Female,1,2025-12-27
524,73,2329885,40,Male,1,2026-05-03
525,36,1989616,18,Female,0,2024-02-20
526,45,726338,55,Female,1,2025-10-26
527,72,2407148,73,Male,0,2025-11-28
528,43,758221,25,Female,1,2025-07-28
529,54,749239,59,Male,0,2024-07-08
530,43,756701,78,Female,0,2024-05-04
531,70,1414449,89,Male,0,2024-05-29
532,40,1959555,22,Female,1,2024-11-09
533,26,1099005,30,Female,0,2025-07-23
534,29,1236580,84,Male,1,2024-12-07
535,70,633816,85,Male,0,2024-10-31
536,18,1470464,44,Male,0,2025-11-22
537,18,985332,32,Male,1,2025-11-12
538,64,1994029,51,Female,0,2026-04-17
539,51,967950,46,Female,0,2026-02-21
540,49,366472,21,Male,1,2024-02-23
541,71,597710,99,Female,0,2025-03-19
542,65,322744,32,Male,0,2025-09-04
543,42,1978627,94,Male,0,2024-09-20
544,57,2263499,39,Female,1,2024-02-22
545,62,1750522,12,Female,0,2025-07-25
546,70,791652,47,Male,1,2025-09-11
547,18,1111420,18,Male,0,2024-01-05
548,33,1031460,21,Male,0,2024-04-12
549,56,1110775,13,Female,1,2024-07-14
550,22,1960574,21,Female,1,2026-02-12
551,39,1901165,8,Female,0,2026-05-26
552,46,1112727,46,Female,0,2026-06-02
553,72,1933693,7,Male,0,2024-12-15
554,20,758924,23,Male,0,2024-02-16
555,29,379352,96,Male,0,2026-05-16
556,43,1010694,75,Male,0,2026-04-02
557,33,2490435,86,Male,0,2026-07-24
558,68,1172346,22,Male,1,2026-03-30
559,54,1115015,89,Female,0,2025-10-17
560,39,1698771,22,Female,0,2024-09-25
561,74,1198974,92,Male,0,2025-01-04
562,46,631413,29,Male,1,2025-09-27
563,31,1552564,13,Female,1,2024-04-15
564,45,1151661,82,Female,0,2025-10-31
565,22,1063561,2,Female,0,2025-10-20
566,64,502186,29,Female,0,2025-10-18
567,66,1495160,85,Male,0,2024-04-29
568,47,1226553,79,Male,0,2026-04-10
569,63,1435202,52,Male,0,2026-02-25
570,69,345271,27,Male,1,2025-08-26
571,22,2415685,50,Male,1,2024-02-27
572,29,1168452,95,Female,0,2026-08-08
573,33,1714542,79,Male,0,2024-12-11
574,43,2363414,23,Female,0,2026-01-10
575,43,276898,88,Male,0,2025-04-18
576,65,488316,44,Male,0,2024-04-26
577,38,2208954,77,Male,0,2026-04-09
578,56,2029553,22,Male,0,2026-03-01
579,53,1239504,43,Male,0,2024-05-06
580,50,1932767,37,Female,0,2025-01-27
581,47,2305058,61,Female,0,2026-06-26
582,54,993719,97,Female,0,2025-10-02
583,40,915080,56,Male,0,2024-02-27
584,27,1875843,3,Male,1,2025-09-25
585,71,234701,63,Female,0,2025-05-27
586,22,1921610,19,Male,1,2026-01-20
587,53,2380712,23,Male,1,2026-03-12
588,51,2340794,29,Female,0,2024-04-05
589,69,691036,30,Male,0,2025-09-29
590,48,527304,39,Female,1,2024-04-27
591,27,2052610,25,Male,0,2025-07-13
592,36,1342953,8,Female,1,2025-08-23
593,49,526916,58,Male,0,2025-05-02
594,18,512250,16,Male,0,2024-08-24
595,73,805409,72,Female,0,2026-06-03
596,22,1274135,1,Male,0,2026-06-15
597,62,1056101,5,Male,0,2024-09-28
598,21,1925690,3,Female,1,2024-07-07
599,33,1814737,65,Male,1,2025-12-04
600,41,1092964,4,Female,1,2025-03-22
601,33,2161275,99,Male,1,2025-08-03
602,72,603119,96,Male,0,2026-02-28
603,19,1335564,64,Male,0,2026-05-10
604,66,325991,98,Male,0,2024-09-03
605,45,602732,89,Female,0,2024-03-16
606,49,706079,10,Male,0,2024-06-02
607,44,2150013,21,Female,1,2025-10-17
608,37,1332658,46,Male,1,2025-03-10
609,41,2185209,91,Male,0,2024-03-26
610,29,328322,27,Male,0,2025-11-27
611,67,856951,66,Male,0,2024-10-11
612,52,211303,41,Female,0,2024-08-07
613,50,1410209,13,Female,1,2024-03-09
614,50,1498266,9,Female,0,2024-02-16
615,68,1209612,36,Female,1,2024-04-03
616,60,2032684,86,Male,0,2026-01-19
617,54,2396768,90,Female,0,2025-03-28
618,29,1268199,58,Female,0,2024-07-22
619,20,923035,54,Male,1,2026-06-30
620,18,690042,12,Male,1,2024-08-05
621,50,658298,81,Male,1,2025-04-18
622,57,1247343,78,Male,0,2025-03-07
623,27,1725416,14,Female,0,2024-12-06
624,60,305228,34,Female,0,2025-07-04
625,61,626346,53,Male,0,2025-09-03
626,46,1955692,20,Male,0,2024-10-15
627,30,1084056,75,Male,1,2024-09-10
628,29,1930228,16,Female,0,2026-01-03
629,48,2146793,95,Female,0,2024-12-22
630,63,1769123,70,Male,0,2024-01-23
631,19,2121214,56,Male,0,2026-01-31
632,68,1926470,83,Female,0,2025-06-05
633,67,248874,58,Male,0,2026-01-27
634,52,1822572,4,Male,0,2026-04-16
635,40,909662,4,Female,1,2024-04-09
636,34,1326825,20,Male,0,2026-03-12
637,43,878250,10,Female,1,2024-06-28
638,25,670452,24,Male,0,2024-08-10
639,46,1678301,99,Male,0,2026-06-24
640,43,2339686,26,Female,1,2026-01-31
641,27,816529,37,Female,0,2025-10-20
642,43,2423361,85,Male,1,2025-03-17
643,51,642061,54,Female,0,2025-08-30
644,68,2461286,21,Male,0,2026-02-07
